"filename", "language", "CSS", "JSON", "HTML", "JavaScript", "JavaScript React", "SCSS", "Markdown", "comment", "blank", "total"
"d:\horizon\admin\src\views\pages\landing\LensDesigns1.js", "JavaScript", 0, 0, 0, 214, 0, 0, 0, 25, 30, 269
"d:\horizon\admin\src\views\pages\landing\LensDesigns1Card.js", "JavaScript", 0, 0, 0, 99, 0, 0, 0, 8, 13, 120
"d:\horizon\admin\src\views\pages\landing\LensDesigns2.jsx", "JavaScript React", 0, 0, 0, 0, 294, 0, 0, 13, 42, 349
"d:\horizon\admin\src\views\pages\landing\LensInfo1.jsx", "JavaScript React", 0, 0, 0, 0, 220, 0, 0, 2, 24, 246
"d:\horizon\admin\src\views\pages\landing\LensInfo2.jsx", "JavaScript React", 0, 0, 0, 0, 294, 0, 0, 13, 51, 358
"d:\horizon\admin\src\views\pages\landing\News.jsx", "JavaScript React", 0, 0, 0, 0, 248, 0, 0, 4, 42, 294
"d:\horizon\admin\src\views\pages\landing\_demo_lensdesigns2.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\horizon\admin\src\views\pages\login\Login.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 3, 79
"d:\horizon\admin\src\views\pages\page404\Page404.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\page500\Page500.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\register\Register.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 3, 81
"d:\horizon\admin\src\views\users\User.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"d:\horizon\admin\src\views\users\Users.js", "JavaScript", 0, 0, 0, 80, 0, 0, 0, 0, 9, 89
"d:\horizon\admin\src\views\users\UsersData.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 16, 56
"d:\horizon\admin\src\views\widgets\Widgets.js", "JavaScript", 0, 0, 0, 362, 0, 0, 0, 0, 9, 371
"d:\horizon\admin\src\views\widgets\WidgetsBrand.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 1, 13, 178
"d:\horizon\admin\src\views\widgets\WidgetsDropdown.js", "JavaScript", 0, 0, 0, 140, 0, 0, 0, 1, 6, 147
"d:\horizon\admin\static.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 3, 0, 8
"Total", "-", 45, 19014, 20, 3532, 1361, 20, 13, 270, 607, 24882
