"filename", "language", "JavaScript", "CSS", "JSON", "HTML", "SCSS", "JavaScript React", "Markdown", "XML", "comment", "blank", "total"
"d:\horizon\admin\src\views\charts\ChartLineSimple.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 2, 15, 153
"d:\horizon\admin\src\views\charts\Charts.js", "JavaScript", 205, 0, 0, 0, 0, 0, 0, 0, 0, 9, 214
"d:\horizon\admin\src\views\charts\MainChartExample.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 1, 8, 102
"d:\horizon\admin\src\views\dashboard\Dashboard.js", "JavaScript", 313, 0, 0, 0, 0, 0, 0, 0, 0, 19, 332
"d:\horizon\admin\src\views\mailing\MailingList.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 5, 18, 113
"d:\horizon\admin\src\views\pages\landing\About.jsx", "JavaScript React", 0, 0, 0, 0, 0, 165, 0, 0, 2, 32, 199
"d:\horizon\admin\src\views\pages\landing\Hero.jsx", "JavaScript React", 0, 0, 0, 0, 0, 288, 0, 0, 2, 35, 325
"d:\horizon\admin\src\views\pages\landing\LensDesigns1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 215, 0, 0, 14, 32, 261
"d:\horizon\admin\src\views\pages\landing\LensDesigns1Card.jsx", "JavaScript React", 0, 0, 0, 0, 0, 99, 0, 0, 8, 13, 120
"d:\horizon\admin\src\views\pages\landing\LensDesigns2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 318, 0, 0, 13, 44, 375
"d:\horizon\admin\src\views\pages\landing\LensDesigns3.jsx", "JavaScript React", 0, 0, 0, 0, 0, 254, 0, 0, 8, 39, 301
"d:\horizon\admin\src\views\pages\landing\LensInfo1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 248, 0, 0, 2, 26, 276
"d:\horizon\admin\src\views\pages\landing\LensInfo2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 322, 0, 0, 13, 54, 389
"d:\horizon\admin\src\views\pages\landing\News.jsx", "JavaScript React", 0, 0, 0, 0, 0, 237, 0, 0, 4, 42, 283
"d:\horizon\admin\src\views\pages\landing\ProductionInfo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 254, 0, 0, 8, 38, 300
"d:\horizon\admin\src\views\pages\landing\Screenshots.jsx", "JavaScript React", 0, 0, 0, 0, 0, 134, 0, 0, 2, 15, 151
