"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Environment Variables", "Shell Script", "Ignore", "XML", "SQL", "Prisma", "Docker", "YAML", "JavaScript React", "comment", "blank", "total"
"d:\horizon\admin\v2\public\country\pt-PT.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\ro-RO.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\ru-RU.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\sk-SK.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\sl-SI.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\sv-SE.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\ta-IN.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\tr-TR.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\uk-UA.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\zh-CN.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\country\zh-TW.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\v2\public\datamaps.world.json", "JSON", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 181
"d:\horizon\admin\v2\public\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 1, 76
"d:\horizon\admin\v2\public\site.webmanifest", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\horizon\admin\v2\redux\actions\app.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 90
"d:\horizon\admin\v2\redux\actions\queries.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\horizon\admin\v2\redux\actions\user.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\horizon\admin\v2\redux\actions\websites.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\horizon\admin\v2\redux\reducers.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\horizon\admin\v2\redux\store.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 41
"d:\horizon\admin\v2\rollup.tracker.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\admin\v2\sample.env", "Environment Variables", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 18
"d:\horizon\admin\v2\scripts\build-geo.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"d:\horizon\admin\v2\scripts\change-password.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 99
"d:\horizon\admin\v2\scripts\check-lang.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\horizon\admin\v2\scripts\copy-db-schema.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"d:\horizon\admin\v2\scripts\download-country-names.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\horizon\admin\v2\scripts\format-lang.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"d:\horizon\admin\v2\scripts\loadtest.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 13, 143
"d:\horizon\admin\v2\scripts\merge-lang.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"d:\horizon\admin\v2\scripts\start-env.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
