"filename", "language", "JSON", "Ignore", "JavaScript", "YAML", "XML", "Environment Variables", "HTML", "CSS", "Docker", "SQL", "Prisma", "Markdown", "SCSS", "JavaScript React", "comment", "blank", "total"
"d:\horizon\admin2\assets\ellipsis-h.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\exclamation-triangle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\external-link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\eye.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\icons\index.js", "JavaScript", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 261
"d:\horizon\admin2\assets\icons\logo-negative.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\horizon\admin2\assets\icons\logo.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\horizon\admin2\assets\icons\sygnet.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\horizon\admin2\assets\link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\list-ul.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\logo.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\horizon\admin2\assets\moon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\pen.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\plus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\redo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\sun.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\times.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\trash.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\visitor.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\assets\xmark.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin2\components\common\Button.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"d:\horizon\admin2\components\common\Button.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 20, 103
"d:\horizon\admin2\components\common\ButtonGroup.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\horizon\admin2\components\common\ButtonGroup.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\horizon\admin2\components\common\Calendar.js", "JavaScript", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 269
"d:\horizon\admin2\components\common\Calendar.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 21, 112
"d:\horizon\admin2\components\common\Checkbox.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\horizon\admin2\components\common\Checkbox.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\horizon\admin2\components\common\CopyButton.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\horizon\admin2\components\common\DateFilter.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 131
"d:\horizon\admin2\components\common\Dot.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\horizon\admin2\components\common\Dot.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\horizon\admin2\components\common\DropDown.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 65
"d:\horizon\admin2\components\common\Dropdown.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\horizon\admin2\components\common\EmptyPlaceholder.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\horizon\admin2\components\common\EmptyPlaceholder.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\horizon\admin2\components\common\ErrorMessage.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\admin2\components\common\ErrorMessage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\admin2\components\common\Favicon.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\horizon\admin2\components\common\Favicon.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin2\components\common\FilterButtons.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\horizon\admin2\components\common\Icon.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\horizon\admin2\components\common\Icon.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\horizon\admin2\components\common\Link.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\horizon\admin2\components\common\Link.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 9, 51
"d:\horizon\admin2\components\common\Loading.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\horizon\admin2\components\common\Loading.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"d:\horizon\admin2\components\common\Menu.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 71
"d:\horizon\admin2\components\common\Menu.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 10, 52
"d:\horizon\admin2\components\common\MenuButton.js", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 84
"d:\horizon\admin2\components\common\MenuButton.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\horizon\admin2\components\common\Modal.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\horizon\admin2\components\common\Modal.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"d:\horizon\admin2\components\common\NavMenu.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"d:\horizon\admin2\components\common\NavMenu.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\horizon\admin2\components\common\NoData.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\horizon\admin2\components\common\NoData.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\horizon\admin2\components\common\RefreshButton.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"d:\horizon\admin2\components\common\Table.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 90
"d:\horizon\admin2\components\common\Table.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\horizon\admin2\components\common\Tag.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\horizon\admin2\components\common\Tag.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\horizon\admin2\components\common\Toast.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\horizon\admin2\components\common\Toast.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\horizon\admin2\components\common\UpdateNotice.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"d:\horizon\admin2\components\common\UpdateNotice.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\admin2\components\common\WorldMap.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 104
"d:\horizon\admin2\components\common\WorldMap.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\horizon\admin2\components\content\DateRangeSetting.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\horizon\admin2\components\content\DateRangeSetting.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin2\components\content\LanguageButton.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"d:\horizon\admin2\components\content\LanguageButton.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\horizon\admin2\components\content\ThemeButton.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"d:\horizon\admin2\components\content\ThemeButton.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\admin2\components\content\TimezoneSetting.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\horizon\admin2\components\content\TimezoneSetting.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\horizon\admin2\components\content\UserButton.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"d:\horizon\admin2\components\content\UserButton.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\horizon\admin2\components\forms\AccountEditForm.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"d:\horizon\admin2\components\forms\CForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\horizon\admin2\components\forms\CSection.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 111
"d:\horizon\admin2\components\forms\CSectionForm.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 10, 185
"d:\horizon\admin2\components\forms\ChangePasswordForm.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 106
"d:\horizon\admin2\components\forms\DatePickerForm.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 84
"d:\horizon\admin2\components\forms\DatePickerForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\horizon\admin2\components\forms\DeleteForm.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 99
"d:\horizon\admin2\components\forms\LoginForm.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 105
"d:\horizon\admin2\components\forms\LoginForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\horizon\admin2\components\forms\ResetForm.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 99
"d:\horizon\admin2\components\forms\SectionEditForm.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 95
"d:\horizon\admin2\components\forms\ShareUrlForm.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\horizon\admin2\components\forms\TrackingCodeForm.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\horizon\admin2\components\forms\WebsiteEditForm.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 111
"d:\horizon\admin2\components\forms\WebsiteSettings.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\horizon\admin2\components\helpers\CheckVisible.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"d:\horizon\admin2\components\helpers\StickyHeader.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"d:\horizon\admin2\components\layout\ButtonLayout.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\horizon\admin2\components\layout\ButtonLayout.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\horizon\admin2\components\layout\CHeader.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 74
"d:\horizon\admin2\components\layout\Footer.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\horizon\admin2\components\layout\Footer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\horizon\admin2\components\layout\FormLayout.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\horizon\admin2\components\layout\FormLayout.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 13, 95
"d:\horizon\admin2\components\layout\GridLayout.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\horizon\admin2\components\layout\GridLayout.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"d:\horizon\admin2\components\layout\Header.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 74
"d:\horizon\admin2\components\layout\Header.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 18, 117
"d:\horizon\admin2\components\layout\Layout.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\horizon\admin2\components\layout\Layout.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\horizon\admin2\components\layout\MenuLayout.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\horizon\admin2\components\layout\MenuLayout.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\horizon\admin2\components\layout\Page.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"d:\horizon\admin2\components\layout\Page.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\horizon\admin2\components\layout\PageHeader.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\horizon\admin2\components\layout\PageHeader.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\horizon\admin2\components\messages.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\horizon\admin2\components\metrics\ActiveUsers.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"d:\horizon\admin2\components\metrics\ActiveUsers.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\horizon\admin2\components\metrics\BarChart.js", "JavaScript", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 227
"d:\horizon\admin2\components\metrics\BarChart.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin2\components\metrics\BrowsersTable.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\horizon\admin2\components\metrics\ChartTooltip.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\horizon\admin2\components\metrics\ChartTooltip.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"d:\horizon\admin2\components\metrics\CountriesTable.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\horizon\admin2\components\metrics\DataTable.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 97
"d:\horizon\admin2\components\metrics\DataTable.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 14, 98
"d:\horizon\admin2\components\metrics\DevicesTable.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\horizon\admin2\components\metrics\EventsChart.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 90
"d:\horizon\admin2\components\metrics\EventsChart.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin2\components\metrics\EventsTable.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"d:\horizon\admin2\components\metrics\EventsTable.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\horizon\admin2\components\metrics\Legend.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"d:\horizon\admin2\components\metrics\Legend.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\horizon\admin2\components\metrics\MetricCard.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\horizon\admin2\components\metrics\MetricCard.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\horizon\admin2\components\metrics\MetricsBar.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 110
"d:\horizon\admin2\components\metrics\MetricsBar.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\horizon\admin2\components\metrics\MetricsTable.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"d:\horizon\admin2\components\metrics\MetricsTable.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\horizon\admin2\components\metrics\OSTable.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\horizon\admin2\components\metrics\PagesTable.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"d:\horizon\admin2\components\metrics\PagesTable.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\horizon\admin2\components\metrics\PageviewsChart.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 95
"d:\horizon\admin2\components\metrics\RealtimeChart.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 61
"d:\horizon\admin2\components\metrics\RealtimeHeader.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 51
"d:\horizon\admin2\components\metrics\RealtimeHeader.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\horizon\admin2\components\metrics\RealtimeLog.js", "JavaScript", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 193
"d:\horizon\admin2\components\metrics\RealtimeLog.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"d:\horizon\admin2\components\metrics\RealtimeViews.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 114
"d:\horizon\admin2\components\metrics\ReferrersTable.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"d:\horizon\admin2\components\metrics\WebsiteChart.js", "JavaScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 119
