"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "CSS", "SCSS", "JavaScript React", "XML", "comment", "blank", "total"
"d:\horizon\admin\src\reusable\old_Accordion.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 55
"d:\horizon\admin\src\routes.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 14, 59
"d:\horizon\admin\src\routes\PrivateRoute.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\horizon\admin\src\scss\_custom.scss", "SCSS", 0, 0, 0, 0, 0, 105, 0, 0, 16, 21, 142
"d:\horizon\admin\src\scss\_fixes.scss", "SCSS", 0, 0, 0, 0, 0, 26, 0, 0, 44, 13, 83
"d:\horizon\admin\src\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\horizon\admin\src\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 12
"d:\horizon\admin\src\serviceWorker.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 30, 13, 128
"d:\horizon\admin\src\services\Auth.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\horizon\admin\src\setupTests.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\horizon\admin\src\store.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\horizon\admin\src\views\Gallery\Gallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 120, 0, 0, 22, 142
"d:\horizon\admin\src\views\Preview\Preview.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 6, 26
"d:\horizon\admin\src\views\Preview\preview.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\views\UploadImg\UploadImg.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 143, 0, 1, 29, 173
"d:\horizon\admin\src\views\charts\ChartBarSimple.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 2, 9, 76
"d:\horizon\admin\src\views\charts\ChartLineSimple.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 2, 15, 153
"d:\horizon\admin\src\views\charts\Charts.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 0, 0, 9, 214
"d:\horizon\admin\src\views\charts\MainChartExample.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 1, 8, 102
"d:\horizon\admin\src\views\dashboard\Dashboard.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 300, 5, 332
"d:\horizon\admin\src\views\mailing\MailingList.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 5, 18, 113
"d:\horizon\admin\src\views\pages\landing\About.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 166, 0, 4, 30, 200
"d:\horizon\admin\src\views\pages\landing\Hero.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 306, 0, 12, 37, 355
"d:\horizon\admin\src\views\pages\landing\LensDesigns1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 446, 0, 21, 36, 503
"d:\horizon\admin\src\views\pages\landing\LensDesigns1Card.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 99, 0, 8, 13, 120
"d:\horizon\admin\src\views\pages\landing\LensDesigns2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 321, 0, 27, 43, 391
"d:\horizon\admin\src\views\pages\landing\LensDesigns3.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 255, 0, 15, 39, 309
"d:\horizon\admin\src\views\pages\landing\LensInfo1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 257, 0, 9, 29, 295
"d:\horizon\admin\src\views\pages\landing\LensInfo2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 323, 0, 20, 54, 397
"d:\horizon\admin\src\views\pages\landing\LensInfo3.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 287, 0, 9, 31, 327
"d:\horizon\admin\src\views\pages\landing\News.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 233, 0, 4, 35, 272
"d:\horizon\admin\src\views\pages\landing\ProductionInfo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 254, 0, 15, 38, 307
"d:\horizon\admin\src\views\pages\landing\Screenshots.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 134, 0, 9, 14, 157
"d:\horizon\admin\src\views\pages\landing\TechnicalInfo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 240, 0, 15, 38, 293
"d:\horizon\admin\src\views\pages\landing\WatchVideo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 194, 0, 10, 31, 235
"d:\horizon\admin\src\views\pages\landing\_demo_lensdesigns2.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\horizon\admin\src\views\pages\login\Login.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 18, 10, 124
"d:\horizon\admin\src\views\pages\page404\Page404.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\page500\Page500.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\register\Register.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 16, 5, 97
"d:\horizon\admin\src\views\users\User.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\horizon\admin\src\views\users\Users.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 9, 89
"d:\horizon\admin\src\views\users\UsersData.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 16, 56
"d:\horizon\admin\src\views\widgets\Widgets.js", "JavaScript", 0, 362, 0, 0, 0, 0, 0, 0, 0, 9, 371
"d:\horizon\admin\src\views\widgets\WidgetsBrand.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 0, 1, 13, 178
"d:\horizon\admin\src\views\widgets\WidgetsDropdown.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 1, 6, 147
"d:\horizon\admin\static.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 8
"d:\horizon\package-lock.json", "JSON", 702, 0, 0, 0, 0, 0, 0, 0, 0, 1, 703
"d:\horizon\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\horizon\server\.eslintrc.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"d:\horizon\server\app.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 53, 15, 146
"d:\horizon\server\controllers\api.controllers.js", "JavaScript", 0, 464, 0, 0, 0, 0, 0, 0, 55, 82, 601
"d:\horizon\server\controllers\comments.controllers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 103, 20, 123
"d:\horizon\server\controllers\json_html_parser.controllers.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 31, 43, 186
"d:\horizon\server\controllers\user.controllers.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 0, 25, 23, 176
"d:\horizon\server\models\About.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\Admin.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\Blog.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 1, 2, 40
"d:\horizon\server\models\Gallery.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Landing.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 2, 25
"d:\horizon\server\models\Mail.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Products.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\horizon.js", "JavaScript", 0, 371, 0, 0, 0, 0, 0, 0, 21, 7, 399
"d:\horizon\server\package-lock.json", "JSON", 5879, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5880
"d:\horizon\server\package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"d:\horizon\server\pm2.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\server\public\assets\coming-soon\css\style.css", "CSS", 0, 0, 0, 0, 122, 0, 0, 0, 27, 29, 178
"d:\horizon\server\public\assets\css\0\lenses_style_1.css", "CSS", 0, 0, 0, 0, 328, 0, 0, 0, 1, 66, 395
"d:\horizon\server\public\assets\css\0\lenses_style_2.css", "CSS", 0, 0, 0, 0, 326, 0, 0, 0, 5, 66, 397
"d:\horizon\server\public\assets\css\_reusable\chrome_safari_anims.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 16, 68
"d:\horizon\server\public\assets\css\_reusable\editor.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\horizon\server\public\assets\css\about\about.css", "CSS", 0, 0, 0, 0, 330, 0, 0, 0, 22, 76, 428
"d:\horizon\server\public\assets\css\aos.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\server\public\assets\css\before_after.css", "CSS", 0, 0, 0, 0, 101, 0, 0, 0, 134, 15, 250
"d:\horizon\server\public\assets\css\bifocal.css", "CSS", 0, 0, 0, 0, 175, 0, 0, 0, 3, 32, 210
